"campagne";"npp";"xl93";"yl93"
2013;"13-74-275-1-146T";928083;6534553
2013;"13-74-290-1-141T";978391;6534197
2013;"13-81-212-1-241T";641607;6315792
2013;"13-86-138-1-175T";489716;6588758
2013;"13-86-142-1-161T";515652;6626311
2013;"13-86-147-1-170T";520972;6593802
2013;"13-87-159-1-180T";547354;6552366
2013;"13-87-160-1-181T";548916;6547755
2014;"14-09-205-1-275T";584918;6222108
2014;"14-11-220-1-274T";630754;6210040
2014;"14-13-280-1-228T";857324;6285441
2014;"14-15-206-1-190T";675874;6475462
2014;"14-15-206-1-200T";665774;6445537
2014;"14-19-179-1-191T";594623;6499707
2014;"14-19-185-1-191T";612224;6493244
2014;"14-19-187-1-199T";610126;6467496
2014;"14-25-259-1-105T";921997;6674530
2014;"14-25-270-1-110T";949436;6648461
2014;"14-27-130-1-074T";567496;6899323
2014;"14-31-180-1-280T";505718;6232352
2014;"14-31-196-1-252T";582286;6299974
2014;"14-34-232-1-248T";693510;6274715
2014;"14-34-252-1-244T";757728;6266566
2014;"14-37-129-1-145T";492078;6688152
2014;"14-38-285-1-179T";923240;6427233
2014;"14-39-265-1-127T";916694;6602528
2014;"14-43-223-1-189T";728335;6460659
2014;"14-49-121-1-151T";462336;6678205
2014;"14-68-277-1-059T";1022750;6793851
2014;"14-74-285-1-125T";979159;6588674
2014;"14-89-187-1-109T";702146;6736304
2014;"14-89-202-1-102T";754589;6742174
2015;"15-04-307-1-188T";981510;6374421
2015;"15-09-191-1-280T";539373;6218525
2015;"15-10-200-1-079T";772916;6809425
2015;"15-13-269-1-234T";819519;6276035
2015;"15-15-219-1-208T";697717;6403998
2015;"15-16-137-1-212T";448676;6477707
2015;"15-17-126-1-211T";416633;6490666
2015;"15-19-173-1-196T";572064;6488471
2015;"15-24-164-1-213T";528240;6445380
2015;"15-24-171-1-222T";540206;6412885
2015;"15-29-014-1-131T";163688;6844262
2015;"15-30-241-1-230T";739869;6316581
2015;"15-34-245-1-252T";729369;6246777
2015;"15-34-249-1-250T";743330;6248596
2015;"15-39-264-1-133T";908956;6582270
2015;"15-42-236-1-161T";796932;6528766
2015;"15-45-172-1-109T";658825;6748235
2015;"15-46-187-1-228T";581881;6378434
2015;"15-47-153-1-248T";459068;6352079
2015;"15-51-214-1-061T";833155;6848675
2015;"15-51-215-1-052T";845407;6874667
