sl|npp|disti|xi|yi|repi|flpi
1|25-25-278-1-090T|29|998263|6699396|1|B
1|25-26-265-1-192T|-27|854540|6408051|1|H
1|25-26-268-1-192T|19|863162|6404667|1|H
2|25-27-114-1-078T|15|520388|6903109|1|0
1|25-27-114-1-078T|-19|520383|6903143|1|B
1|25-27-118-1-081T|-1|528903|6890028|1|0
2|25-27-122-1-084T|-11|537833|6877260|1|B
1|25-27-122-1-084T|-2|537842|6877259|1|B
1|25-27-132-1-085T|-20|566390|6863529|1|0
1|25-27-133-1-066T|-28|589474|6919779|1|B
1|25-28-129-1-106T|2|536391|6803548|1|B
1|25-29-004-1-139T|17|128182|6833253|1|0
1|25-29-005-1-138T|-19|133024|6835008|1|B
1|25-29-007-1-132T|9|144297|6850760|1|H
1|25-29-017-1-126T|-23|181017|6858420|1|0
2|25-29-026-1-132T|28|201587|6831797|1|H
1|25-29-026-1-132T|-21|201559|6831837|1|B
1|25-29-027-1-147T|-2|189460|6786109|1|B
1|25-29-028-1-142T|4|196930|6799687|1|C
1|25-29-029-1-137T|-28|205157|6813994|1|0
1|25-30-257-1-217T|12|805025|6341063|1|0
1|25-30-262-1-231T|-9|806013|6294141|1|B
1|25-30-266-1-234T|-15|814465|6280945|1|B
1|25-31-185-1-255T|-7|550470|6301064|1|B
1|25-32-167-1-251T|-9|501503|6332052|1|B
1|25-32-168-1-263T|8|492410|6295002|1|C
1|25-32-170-1-265T|-17|495559|6286764|1|B
1|25-32-173-1-261T|-1|508893|6295678|1|A
1|25-32-174-1-259T|2|514306|6300322|1|B
1|25-32-178-1-258T|3|527173|6299356|1|B
1|25-33-119-1-218T|8|391353|6479360|1|C
1|25-34-236-1-254T|16|704825|6252138|1|B
1|25-34-248-1-249T|-1|744899|6255132|1|B
1|25-35-068-1-122T|16|337673|6818124|1|0
1|25-35-083-1-120T|7|383860|6808883|1|H
1|25-35-085-1-121T|-25|389557|6803970|1|B
1|25-36-160-1-145T|0|589095|6655180|1|H
1|25-36-162-1-161T|19|578910|6605430|1|C
3|25-36-174-1-160T|27|615536|6596902|1|B
1|25-36-174-1-160T|9|615527|6596886|1|B
2|25-36-174-1-160T|20|615533|6596895|1|B
1|25-37-134-1-135T|13|521701|6712470|1|C
1|25-37-143-1-133T|-29|550729|6709351|1|B
1|25-37-147-1-144T|24|550594|6672018|1|0
1|25-37-147-1-152T|-27|542783|6648483|1|B
1|25-38-256-1-173T|0|847473|6473782|1|0
2|25-38-264-1-154T|8|890158|6522088|1|0
1|25-38-264-1-154T|-1|890155|6522095|1|0
1|25-38-270-1-163T|-13|899630|6489255|1|0
2|25-38-271-1-164T|3|901295|6484744|1|C
1|25-38-271-1-164T|23|901306|6484761|1|H
1|25-38-274-1-167T|24|906818|6473343|1|B
1|25-38-279-1-182T|-7|906110|6423331|1|C
1|25-39-264-1-119T|-24|926003|6626349|1|B
2|25-40-139-1-275T|6|392473|6288382|1|A
1|25-40-139-1-275T|15|392479|6288375|1|B
1|25-40-149-1-264T|12|434297|6311448|1|B
2|25-41-159-1-123T|13|608211|6721903|1|B
1|25-41-159-1-123T|30|608221|6721889|1|H
1|25-41-164-1-122T|-26|624407|6720504|1|0
1|25-42-228-1-170T|2|766332|6510789|1|H
1|25-42-236-1-169T|-17|791490|6505679|1|H
1|25-44-072-1-155T|-9|315719|6715346|1|B
1|25-44-075-1-152T|-21|327567|6721639|1|B
2|25-44-079-1-157T|13|334758|6702805|1|B
1|25-44-079-1-157T|0|334753|6702817|1|0
2|25-44-082-1-159T|10|341302|6694043|1|B
1|25-44-082-1-159T|-3|341297|6694031|1|H
2|25-44-083-1-149T|-11|354125|6722103|1|H
1|25-44-083-1-149T|-16|354125|6722108|1|H
2|25-44-083-1-155T|14|348008|6705045|1|H
1|25-44-083-1-155T|-25|347973|6705062|1|H
3|25-44-083-1-159T|24|344270|6692400|1|C
2|25-44-083-1-159T|8|344266|6692385|1|B
1|25-44-083-1-159T|0|344264|6692377|1|B
1|25-44-084-1-166T|1|340350|6670471|1|C
2|25-44-088-1-152T|-29|366161|6708199|1|C
1|25-44-088-1-152T|17|366174|6708156|1|B
1|25-45-162-1-118T|26|622768|6733855|1|C
1|25-45-173-1-106T|27|667201|6758701|1|0
1|25-46-179-1-237T|-20|551646|6361399|1|C
1|25-46-189-1-221T|0|597778|6398873|1|B
1|25-46-190-1-218T|-27|603873|6407108|1|B
1|25-47-150-1-241T|15|460689|6379201|1|B
1|25-47-160-1-245T|3|486308|6357214|1|C
1|25-47-162-1-246T|30|491540|6352137|1|A
2|25-47-175-1-234T|9|543022|6373872|1|B
1|25-47-175-1-234T|-3|543014|6373863|1|B
1|25-48-223-1-205T|-20|715179|6411321|1|C
1|25-48-246-1-221T|-30|767590|6339933|1|H
2|25-49-098-1-154T|20|394417|6692237|1|H
1|25-49-098-1-154T|-9|394416|6692208|1|C
2|25-49-098-1-156T|4|391909|6685765|1|H
1|25-49-098-1-156T|-5|391902|6685771|1|B
1|25-49-101-1-152T|-5|404937|6695585|1|B
1|25-49-102-1-136T|-9|424777|6741906|1|0
1|25-49-109-1-149T|16|432384|6696118|1|H
1|25-49-111-1-135T|10|452900|6735619|1|H
1|25-49-111-1-139T|15|448746|6723239|1|H
1|25-49-121-1-147T|29|470498|6689167|1|H
1|25-50-067-1-079T|-21|378676|6948198|1|H
2|25-50-067-1-082T|24|375662|6939014|1|B
1|25-50-067-1-082T|15|375654|6939016|1|B
