npp|nppg|occ|auteurpi|datepi|note|cso|dbpi|pbpi|uspi|ufpi|tfpi|phpi|blpi|efpi|dupi|evof
25-10-197-1-080C|10563-F7000-0-0T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-10-202-1-072C|10562-F9030-8-1T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-11-215-1-268C|11558-F3060-8-2T|1|138|2024-04-03||6A||2||0|||0|||
25-11-223-1-258C|11558-F7000-6-0T|1|138|2024-04-03||1|0|2|X||2|0|0||0|
25-11-236-1-262C|11568-F0050-8-5T|1|138|2024-04-03||4L|0|2|X|0|2||0||0|
25-12-203-1-228C|12557-F4000-5-0T|1|138|2024-04-08||1|0|2|X||2|0|0||0|
25-12-210-1-232C|12557-F5070-6-9T|1|138|2024-04-08||6A||2||0|||0|||
25-12-213-1-218C|12557-F8000-3-0T|1|138|2024-04-08||1|0|2|X||2|0|0||0|
25-12-223-1-228C|12567-F0000-7-0T|1|138|2024-04-08||1|0|2|X||2|0|0||0|
25-12-232-1-230C|12567-F2050-8-5T|1|138|2024-04-08||6H||2||0|||0|||
25-12-235-1-234C|12568-F3000-0-0T|1|138|2024-04-08||1|0|2|X||2|0|0||0|
25-13-296-1-234C|13588-F1030-6-1T|1|138|2024-04-08||3|0|2|X||2|0|0||0|
25-14-090-1-083C|14532-F4060-0-2T|1|106|2024-05-14||6A||2||0|||0|||
25-14-099-1-088C|14532-F6080-2-6T|1|106|2024-05-14||6A||2||0|||0|||
25-14-102-1-090C|14532-F7050-3-5T|1|106|2024-05-14||6A||2||0|||0|||
25-14-103-1-093C|14532-F7050-4-5T|1|106|2024-05-14||6A||2||0|||0|||
25-15-206-1-201C|15556-F7060-7-2T|1|169|2024-05-03||1|0|2|X||2|0|0||0|
25-15-210-1-191C|15556-F9080-4-6T|1|169|2024-05-03||6H||2||0|||0|||
25-16-129-1-201C|16535-F4050-9-5T|1|101|2024-03-22||1|0|2|X||2|0|0||0|
25-16-135-1-194C|16535-F7000-8-0T|1|101|2024-03-22||6A||2||0|||0|||
25-16-142-1-196C|16535-F8090-9-3T|1|101|2024-03-22||6A||2||0|||0|||
25-17-111-1-207C|17525-F8050-9-5T|1|101|2024-03-22||6A||2||0|||0|||
25-17-114-1-190C|17535-F1010-4-7T|1|101|2024-03-22||6A||2||0|||0|||
25-17-115-1-207C|17525-F9070-9-9T|1|101|2024-03-22||6A||2||0|||0|||
25-17-118-1-205C|17535-F0080-9-6T|1|101|2024-03-22||6A||2||0|||0|||
25-17-135-1-213C|17536-F5010-3-7T|1|101|2024-03-22||6A||2||0|||0|||
25-18-178-1-141C|18554-F5020-6-4T|1|101|2024-03-22||6A||2||0|||0|||
25-18-179-1-142C|18554-F5040-6-8T|1|101|2024-03-22||1|0|2|X||2|0|0||0|
25-18-182-1-131C|18554-F7040-3-8T|1|101|2024-03-22||6A||2||0|||0|||
25-18-186-1-147C|18554-F7000-9-0T|1|101|2024-03-22||6A||2||0|||0|||
25-18-187-1-153C|18555-F6070-0-9T|1|101|2024-03-22||1|0|2|X||2|0|0||0|
25-19-178-1-206C|19546-F8070-5-9T|1|101|2024-04-22||6A||2||0|||0|||
25-19-180-1-188C|19556-F1010-0-7T|1|101|2024-04-22||1|0|2|X||2|0|0||0|
25-19-185-1-186C|19556-F2080-0-6T|1|101|2024-04-22||6H||2||0|||0|||
25-19-194-1-191C|19556-F5000-3-0T|1|101|2024-04-22||1|0|2|X||2|0|0||0|
25-21-220-1-094C|21573-F2050-6-5T|1|169|2024-05-03||1|0|2|X||2|0|0||0|
25-21-223-1-111C|21574-F1070-1-9T|1|169|2024-05-03||6A||2||0|||0|||
25-21-227-1-098C|21573-F4020-8-4T|1|169|2024-05-03||1|0|2|X||2|0|0||0|
25-21-228-1-102C|21573-F4010-9-7T|1|169|2024-05-03||1|0|2|X||2|0|0||0|
25-21-232-1-100C|21573-F5050-9-5T|1|169|2024-05-03||6A||2||0|||0|||
25-21-237-1-102C|21574-F6080-0-6T|1|169|2024-05-03||6A||2||0|||0|||
25-22-037-1-122C|22512-F4080-6-6T|1|106|2024-05-14||6A||2||0|||0|||
25-22-040-1-136C|22513-F4030-1-1T|1|106|2024-05-14||1|0|2|X||2|0|0||0|
25-22-051-1-119C|22512-F9030-7-1T|1|106|2024-05-14||6A||2||0|||0|||
25-22-055-1-118C|22522-F0060-7-2T|1|106|2024-05-14||6A||2||0|||0|||
25-23-184-1-163C|23555-F4080-3-6T|1|101|2024-03-22||6A||2||0|||0|||
25-23-185-1-176C|23555-F3080-7-6T|1|101|2024-03-22||6A||2||0|||0|||
25-24-159-1-229C|24547-F0070-0-9T|1|101|2024-03-22||6A||2||0|||0|||
25-24-170-1-201C|24546-F6080-3-6T|1|101|2024-03-22||1|0|2|X||2|0|0||0|
25-24-174-1-225C|24547-F5060-1-2T|1|101|2024-03-22||1|0|2|V||2|0|0||0|
25-25-272-1-087C|25583-F8080-9-6T|1|169|2024-05-03||1|1|1|X||2|0|0||0|
