campagne;idp;dep;csa;utip;bois;tform;gest;dist;iti;pentexp;portance;asperite;pro_psg;u_ex_ap_uicn;expl;st_x;st_y;visite;passage
2018;1301379;11;1;X;1;2;0;1;1;0;1;0;2;0;1;684089.0675351573;6220220.94496624;1;1
2018;1301388;10;1;X;1;2;1;1;1;2;1;0;2;0;3;818721.5047530943;6780582.337889742;1;1
2018;1301393;76;1;X;1;2;2;NULL;0;0;1;0;3;0;0;562193.7302121047;6936651.792406475;1;1
2018;1301400;67;1;X;1;2;2;1;1;0;1;0;4;2;1;1065371.6265650447;6874392.895218269;1;1
2018;1301410;62;1;X;1;2;2;NULL;0;0;1;0;2;1;0;621379.8317116271;7082087.050055395;1;1
2018;1301415;16;1;X;1;2;1;NULL;0;0;1;0;2;0;0;462970.9864677895;6539754.097099003;1;1
2018;1301417;19;1;X;1;2;0;2;1;0;1;0;2;1;1;610365.9650979936;6482578.633508081;1;1
2018;1301436;8;1;X;1;2;2;1;1;0;1;0;4;0;1;824186.4425911097;6952432.074598582;1;1
2018;1301441;7;1;X;1;2;0;2;2;3;1;0;2;0;3;823255.9070955222;6374880.635308167;1;1
2018;1301452;2;1;X;1;2;2;1;1;1;1;0;2;0;2;737916.7795820936;6915187.218423823;1;1
2018;1301467;73;1;X;1;2;0;NULL;0;0;1;0;2;0;0;910332.0466624728;6510008.886052514;1;1
2018;1301478;89;1;X;1;2;2;NULL;0;0;1;0;1;0;0;702301.7870552005;6721612.082647206;1;1
2018;1301491;4;1;X;1;2;0;4;2;4;NULL;NULL;4;0;3;988717.5417842962;6331502.739182565;1;1
2018;1301495;62;1;X;1;2;1;NULL;0;0;1;0;2;0;0;639136.2199979287;7053950.883231753;1;1
2018;1301497;81;1;X;1;2;1;NULL;0;3;1;0;2;1;3;650531.1653555512;6268451.25509383;1;1
2018;1301501;19;1;X;1;2;2;NULL;0;1;1;0;1;1;1;632578.9249481533;6510367.871972331;1;1
2018;1301521;83;1;X;1;2;0;2;1;0;1;0;2;1;1;924169.7006294045;6260134.197526973;1;1
2018;1301524;89;1;X;1;2;2;2;1;0;1;0;3;0;1;790283.1715288046;6726862.143288089;1;1
2018;1301559;45;1;X;1;2;2;NULL;0;0;1;0;2;0;0;664314.7047030369;6719933.791682057;1;1
2018;1301561;88;1;X;1;2;2;1;1;0;1;0;2;0;1;962958.1406234743;6819317.208372145;1;1
2018;1301563;34;1;X;1;2;1;1;1;1;2;1;2;2;2;738735.8102067224;6303670.414968667;1;1
2018;1301567;70;1;X;1;2;1;NULL;0;0;1;0;2;0;0;912324.0686345425;6741806.865891169;1;1
2018;1301568;6;3;X;1;2;0;4;2;4;NULL;NULL;2;0;3;1044552.1264888425;6319031.558877808;1;1
2018;1301575;24;1;X;1;2;1;1;1;2;1;0;2;3;3;541983.1802381454;6429198.441590551;1;1
2018;1301583;17;1;X;1;2;1;2;1;0;1;0;2;0;1;400995.7522668921;6536267.744491914;1;1
2018;1301628;37;1;X;1;2;0;2;1;0;1;0;2;2;1;506224.2037451294;6695272.240633279;1;1
2018;1301630;48;1;X;1;2;2;NULL;0;0;1;0;2;3;0;723175.3430844638;6353751.752137245;1;1
2018;1301634;26;3;X;1;2;0;2;2;2;1;1;2;1;3;891560.9151061398;6418254.421971723;1;1
2018;1301656;26;1;X;1;2;0;1;2;2;1;1;2;2;3;903497.1425498188;6412157.705118495;1;1
2018;1301663;71;1;X;1;2;2;3;1;0;1;0;1;0;2;809245.7812309312;6606792.404225552;1;1
2018;1301664;38;1;X;1;2;0;1;2;4;NULL;NULL;2;0;3;917860.3861670806;6455992.773229105;1;1
2018;1301676;42;1;X;1;2;2;NULL;0;1;1;0;2;0;1;766536.7160078816;6519229.738197849;1;1
2018;1301681;21;1;X;1;2;2;2;1;0;1;0;4;2;1;853634.2785277688;6656374.036985745;1;1
2018;1301703;88;1;X;1;2;2;NULL;0;2;1;0;2;0;3;980633.7728299277;6783188.309308876;1;1
2018;1301704;4;1;X;1;2;0;1;1;0;1;0;2;1;1;932710.0195849177;6323993.941097516;1;1
2018;1301706;5;1;X;1;2;0;1;2;1;1;0;2;2;3;979487.7213017365;6419495.7252629185;1;1
2018;1301712;80;1;X;1;2;2;1;1;0;1;0;2;0;1;612497.2990407019;6976211.31167054;1;1
2018;1301720;7;1;X;1;2;2;NULL;0;1;1;0;2;0;1;828018.5372101008;6464754.729687045;1;1
2018;1301726;39;1;X;1;2;2;1;1;0;1;0;4;2;1;901730.9693301243;6671949.636171681;1;1
2018;1301736;33;1;X;1;2;2;2;1;0;2;0;1;3;1;365866.16344548383;6394685.770589517;1;1
2018;1301737;28;1;X;1;2;2;NULL;0;0;1;0;1;0;0;559480.2036768759;6850724.415093603;1;1
2018;1301742;57;1;X;1;2;2;NULL;0;0;1;0;3;1;0;1023626.4703331072;6900740.580124299;1;1
2018;1301753;51;1;X;1;2;2;NULL;0;0;1;0;4;0;0;743286.4787234693;6841185.26909506;1;1
2018;1301755;33;1;X;1;2;1;NULL;0;0;1;0;2;0;0;424332.28356809;6458145.557800108;1;1
2018;1301760;13;1;X;1;2;1;NULL;0;0;1;0;2;0;0;886264.454973282;6266453.004528568;1;1
2018;1301777;12;1;X;1;2;0;2;1;0;1;0;4;1;1;707293.5938105407;6365873.864820133;1;1
2018;1301782;76;1;X;1;2;2;2;1;0;1;0;1;0;1;555964.8116787138;6908719.19355498;1;1
2018;1301789;58;1;X;1;2;2;2;1;0;1;0;2;2;1;773616.8307413566;6647063.765520987;1;1
2018;1301794;54;1;X;1;2;2;2;1;1;1;0;4;0;2;919489.3457142996;6877655.698444753;1;1
2018;1301808;87;1;X;1;2;1;NULL;0;0;1;0;2;0;0;571253.9921278141;6584817.471756079;1;1
2018;1301826;84;1;X;1;2;0;1;1;2;2;0;4;1;3;910511.3173761312;6298211.545638538;1;1
2018;1301829;40;1;X;1;2;2;2;1;1;2;0;3;3;2;359479.8236493338;6346785.256260159;1;1
2018;1301840;40;1;X;1;2;2;2;1;0;1;0;1;3;1;373792.33085989364;6386628.606163235;1;1
2018;1301857;63;1;X;1;2;0;1;2;3;1;0;2;1;3;762371.0458359984;6499282.643979752;1;1
2018;1301876;64;1;X;1;2;0;NULL;0;0;1;0;4;0;0;334836.5572520007;6265071.691067342;1;1
2018;1301880;41;1;X;1;2;2;NULL;0;0;1;0;2;2;0;634422.2868269219;6730177.711910536;1;1
2018;1301883;40;1;X;1;2;2;NULL;0;0;1;0;1;0;0;375675.6060363472;6372626.850905463;1;1
2018;1301907;33;1;X;1;2;2;3;1;0;1;0;1;1;2;423674.52714676975;6378227.009091508;1;1
2018;1301932;52;1;X;1;2;1;NULL;0;0;1;0;2;0;0;834692.4766382512;6778447.381036952;1;1
2018;1301935;19;1;X;1;2;0;NULL;0;2;1;0;2;0;3;613960.9658543138;6434592.609149642;1;1
2018;1301936;71;1;X;1;2;2;1;1;0;1;0;1;0;1;837067.5980009069;6588569.99698607;1;1
2018;1301940;15;3;X;1;2;1;NULL;0;3;1;0;2;1;3;661963.1581230743;6440184.762000307;1;1
2018;1301943;40;1;X;1;2;0;1;1;1;1;0;1;3;2;370943.0581662084;6282757.325612643;1;1
2018;1301945;70;1;X;1;2;2;NULL;0;0;1;0;2;2;0;966298.9570809011;6743340.291738643;1;1
2018;1301951;37;1;X;1;2;1;NULL;0;0;1;0;2;0;0;537749.5284608138;6641051.451530098;1;1
2018;1301962;12;1;X;1;2;0;2;1;1;1;0;2;2;2;629191.7474573008;6344552.034099667;1;1
2018;1301966;23;1;X;1;2;2;3;1;1;1;0;4;3;3;618742.6827313402;6528468.070627176;1;1
2018;1301968;18;1;X;1;2;2;1;1;0;1;0;3;0;1;640065.2356049808;6688160.831953274;1;1
2018;1301981;12;1;X;1;2;0;NULL;0;3;1;0;2;2;3;669652.7333800092;6404153.958473939;1;1
2018;1301988;89;1;X;1;2;2;NULL;0;0;1;0;4;0;0;800428.4690219065;6744763.045018087;1;1
2018;1302012;80;1;X;1;2;0;NULL;0;1;1;0;2;0;1;650777.6580611663;7011872.960956864;1;1
2018;1302017;8;1;X;1;2;1;3;1;0;1;0;1;0;2;838195.0180346579;6954311.205658528;1;1
2018;1302027;89;1;X;1;2;2;1;1;1;1;0;2;0;2;752262.182167127;6721189.398229764;1;1
2018;1302031;29;3;X;1;2;1;NULL;0;1;1;0;2;0;1;177632.79069369176;6839855.586914737;1;1
2018;1302043;18;1;X;1;2;2;1;1;0;1;0;1;2;1;636118.842351962;6694189.479262355;1;1
2018;1302045;34;1;X;1;2;0;2;1;1;2;0;1;3;2;758697.0193479656;6301503.775361486;1;1
