"dir";"type_point";"npp";"nph";"type_res";"nom_site"
DIRCE;visite2;"20-15-210-1-200T";"202101200";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-211-1-201T";"202111201";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-38-278-1-182T";"202781182";réserve naturelle nationale;Hauts Plateaux Du Vercors
DIRCE;visite2;"20-63-200-1-182T";"202001182";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-63-201-1-183T";"202011183";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-63-201-1-185T";"202011185";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-63-202-1-180T";"202021180";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-63-202-1-184T";"202021184";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-63-203-1-181T";"202031181";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-63-204-1-182T";"202041182";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-63-204-1-184T";"202041184";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-63-204-1-186T";"202041186";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-63-205-1-183T";"202051183";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-63-205-1-187T";"202051187";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-63-206-1-186T";"202061186";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-63-206-1-188T";"202061188";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-63-207-1-185T";"202071185";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-63-209-1-187T";"202091187";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-73-277-1-157T";"202771157";réserve naturelle régionale;Lac d'Aiguebelette
DIRCE;visite2;"20-73-285-1-151T";"202851151";réserve nationale de chasse et faune sauvage;Les Bauges
DIRCE;visite2;"20-73-286-1-150T";"202861150";réserve nationale de chasse et faune sauvage;Les Bauges
DIRNE;nouveau;"25-21-233-1-104T";"252331104";réserve naturelle régionale;Val Suzon
DIRNE;nouveau;"25-51-187-1-050T";"251871050";réserve naturelle régionale;Marais et sablières du Massif de Saint-Thierry
DIRNE;nouveau;"25-57-251-1-044T";"252511044";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-257-1-040T";"252571040";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-258-1-041T";"252581041";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-259-1-040T";"252591040";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-259-1-042T";"252591042";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-259-1-044T";"252591044";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-259-1-046T";"252591046";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-259-1-048T";"252591048";réserve biosphère;Moselle sud (zone de transition)
DIRNE;nouveau;"25-57-260-1-045T";"252601045";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-262-1-045T";"252621045";réserve biosphère;Moselle sud (zone de transition)
DIRNE;nouveau;"25-57-263-1-042T";"252631042";réserve biosphère;Moselle sud (zone de transition)
DIRNE;nouveau;"25-57-263-1-046T";"252631046";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-263-1-048T";"252631048";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-264-1-033T";"252641033";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;nouveau;"25-57-265-1-026T";"252651026";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;nouveau;"25-57-265-1-030T";"252651030";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-57-265-1-032T";"252651032";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;nouveau;"25-57-265-1-042T";"252651042";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-265-1-046T";"252651046";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-265-1-048T";"252651048";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-266-1-027T";"252661027";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-57-266-1-029T";"252661029";réserve biosphère;Vosges du Nord (zone tampon)
DIRNE;nouveau;"25-57-266-1-031T";"252661031";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-57-266-1-033T";"252661033";réserve biosphère;Vosges du Nord (zone de transition)
DIRNE;nouveau;"25-57-266-1-039T";"252661039";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-266-1-043T";"252661043";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-266-1-045T";"252661045";réserve biosphère;Moselle sud (zone tampon)
DIRNE;nouveau;"25-57-266-1-047T";"252661047";réserve biosphère;Moselle sud (zone tampon)
