CAMPAGNE,IDP
2022,1201556
2022,1202145
2022,1202271
2022,1202473
2022,1202594
2022,1202785
2022,1203319
2022,1203418
2022,1203514
2022,1203579
2022,1203583
2022,1205171
2022,1205629
2022,1206060
2022,1207221
2022,1208009
2022,1208157
2022,1208412
2022,1208420
2022,1209091
2022,1209136
2022,1209365
2022,1210252
2022,1210672
2022,1210870
2022,1211626
2022,1211924
2022,1212571
2022,1212945
2022,1213176
2022,1213515
2022,1214047
2022,1214851
2022,1215151
2022,1215426
2022,1215766
2022,1215917
2022,1217223
2022,1217269
2022,1217290
2022,1219137
2022,1219360
2022,1219697
2022,1219966
2022,1219982
2022,1220233
2022,1221054
2022,1221505
2022,1221529
2022,1221540
2022,1221595
2022,1221789
2022,1222205
2022,1222506
2022,1222619
2022,1222695
2022,1222862
2022,1223100
2022,1223784
2022,1224030
2022,1224833
2022,1225782
2022,1226194
2022,1226373
2022,1227107
2022,1227565
2022,1227735
2022,1227940
2022,1227941
2022,1228094
2022,1228115
2022,1228531
2022,1228705
2022,1229326
2022,1229338
2022,1229487
2022,1229857
2022,1230013
2022,1230583
2022,1230666
2022,1230672
2022,1230763
2022,1230940
2022,1231207
