"NPP","A","Type de correction","MORTB_NEW","MA_NEW","MORTB_OLD","MA_OLD"
"24-40-121-1-251T",6,"correction code EM",0,"1",2,2
"24-40-121-1-251T",7,"correction code EM",0,"1",2,3
"24-40-121-1-251T",8,"correction code EM",0,"1",3,3
"24-40-121-1-251T",9,"correction code EM",0,"2",2,2
"24-40-121-1-251T",10,"correction code EM",0,"0",2,2
"24-40-121-1-251T",11,"correction code EM",0,"0",3,4
"24-40-121-1-251T",16,"correction code EM",0,"1",2,3
"24-40-122-1-250T",1,"correction code EM",0,"0",1,2
"24-40-122-1-250T",2,"correction code EM",0,"0",1,2
"24-40-122-1-250T",3,"correction code EM",0,"0",1,3
"24-40-122-1-250T",4,"correction code EM",0,"1",1,2
"24-40-122-1-250T",6,"correction code EM",0,"1",2,2
"24-40-122-1-250T",7,"correction code EM",0,"0",2,2
"24-40-122-1-256T",2,"correction code EM",0,"0",1,2
"24-40-122-1-256T",3,"correction code EM",0,"1",2,3
"24-40-122-1-256T",5,"correction code EM",0,"2",2,3
"24-40-124-1-268T",1,"correction code EM",0,"0",1,2
"24-40-124-1-268T",2,"correction code EM",0,"0",2,2
"24-40-124-1-268T",3,"correction code EM",0,"0",1,2
"24-40-124-1-268T",4,"correction code EM",0,"1",2,2
"24-40-124-1-268T",5,"correction code EM",0,"0",1,2
"24-40-124-1-268T",6,"correction code EM",0,"0",1,2
"24-40-124-1-268T",7,"correction code EM",0,"0",2,2
"24-40-124-1-268T",8,"correction code EM",0,"0",2,4
"24-40-124-1-268T",9,"correction code EM",0,"0",2,3
"24-40-124-1-268T",10,"correction code EM",0,"1",2,3
"24-40-124-1-268T",12,"correction code EM",0,"1",1,2
"24-40-124-1-268T",13,"correction code EM",0,"1",1,2
"24-40-124-1-276T",1,"correction code EM",0,"2",2,3
"24-40-124-1-276T",2,"correction code EM",0,"1",1,2
"24-40-124-1-276T",4,"correction code EM",0,"0",1,2
"24-40-124-1-276T",5,"correction code EM",0,"0",2,3
"24-40-124-1-276T",7,"correction code EM",0,"0",1,2
"24-40-124-1-276T",8,"correction code EM",0,"0",1,2
"24-40-124-1-276T",9,"correction code EM",0,"1",1,2
"24-40-124-1-276T",10,"correction code EM",0,"0",1,2
"24-40-124-1-276T",11,"correction code EM",0,"2",1,2
"24-40-124-1-276T",12,"correction code EM",0,"0",1,1
"24-40-124-1-276T",14,"correction code EM",0,"0",1,2
"24-40-124-1-276T",16,"correction code EM",0,"0",1,2
"24-40-124-1-276T",17,"correction code EM",0,"1",2,3
"24-40-125-1-249T",2,"correction code EM",0,"1",2,3
"24-40-125-1-249T",4,"correction code EM",0,"1",2,3
"24-40-125-1-251T",5,"correction code EM",0,"0",2,3
"24-40-125-1-267T",1,"correction code EM",0,"2",2,3
"24-40-125-1-267T",2,"correction code EM",0,"0",1,2
"24-40-125-1-267T",4,"correction code EM",0,"0",2,2
"24-40-125-1-267T",5,"correction code EM",0,"0",2,3
"24-40-125-1-267T",6,"correction code EM",0,"1",2,3
"24-40-125-1-267T",7,"correction code EM",0,"1",1,2
"24-40-125-1-267T",8,"correction code EM",0,"1",2,3
"24-40-125-1-267T",9,"correction code EM",0,"2",2,3
"24-40-125-1-267T",10,"correction code EM",0,"1",2,3
"24-40-125-1-267T",11,"correction code EM",0,"2",1,2
"24-40-125-1-267T",12,"correction code EM",0,"1",1,2
"24-40-125-1-267T",13,"correction code EM",0,"0",2,3
"24-40-125-1-271T",1,"correction code EM",0,"1",2,2
"24-40-125-1-271T",2,"correction code EM",0,"0",2,2
"24-40-125-1-271T",3,"correction code EM",0,"0",1,2
"24-40-125-1-271T",4,"correction code EM",0,"1",1,2
"24-40-125-1-271T",6,"correction code EM",0,"0",1,2
"24-40-126-1-272T",1,"correction code EM",0,"1",1,2
"24-40-126-1-272T",2,"correction code EM",0,"0",1,1
"24-40-126-1-272T",3,"correction code EM",0,"0",1,1
"24-40-126-1-274T",1,"correction code EM",0,"0",1,2
"24-40-126-1-274T",2,"correction code EM",0,"0",2,2
"24-40-126-1-274T",3,"correction code EM",0,"0",1,2
"24-40-126-1-274T",4,"correction code EM",0,"0",2,3
"24-40-126-1-274T",5,"correction code EM",0,"2",1,3
"24-40-126-1-274T",6,"correction code EM",0,"0",2,3
"24-40-126-1-274T",7,"correction code EM",0,"2",2,3
"24-40-126-1-274T",8,"correction code EM",0,"1",2,3
"24-40-126-1-274T",9,"correction code EM",0,"0",2,3
"24-40-126-1-274T",10,"correction code EM",0,"1",2,3
"24-40-126-1-274T",11,"correction code EM",0,"0",2,3
"24-40-126-1-274T",12,"correction code EM",0,"1",2,3
"24-40-126-1-276T",1,"correction code EM",0,"1",1,2
"24-40-126-1-276T",2,"correction code EM",0,"0",1,2
"24-40-126-1-276T",3,"correction code EM",0,"0",1,2
"24-40-126-1-276T",4,"correction code EM",0,"1",2,3
"24-40-126-1-276T",5,"correction code EM",0,"0",2,3
"24-40-126-1-276T",6,"correction code EM",0,"0",2,2
"24-40-126-1-276T",7,"correction code EM",0,"1",1,2
"24-40-126-1-276T",8,"correction code EM",0,"1",1,2
"24-40-126-1-276T",9,"correction code EM",0,"2",2,3
"24-40-126-1-276T",10,"correction code EM",0,"1",2,3
"24-40-126-1-276T",11,"correction code EM",0,"2",1,2
"24-40-126-1-276T",12,"correction code EM",0,"1",1,2
"24-40-126-1-276T",13,"correction code EM",0,"0",2,3
"24-40-126-1-276T",14,"correction code EM",0,"0",2,3
"24-40-127-1-261T",1,"correction code EM",0,"1",2,3
"24-40-127-1-261T",3,"correction code EM",0,"0",2,3
"24-40-127-1-265T",6,"correction code EM",0,"1",1,2
"24-40-127-1-265T",7,"correction code EM",0,"0",1,2
"24-40-127-1-269T",1,"correction code EM",0,"0",1,2
"24-40-127-1-269T",2,"correction code EM",0,"1",1,2
"24-40-127-1-269T",3,"correction code EM",0,"0",1,2
"24-40-127-1-269T",4,"correction code EM",0,"2",1,2
"24-40-127-1-269T",5,"correction code EM",0,"0",1,2
"24-40-127-1-269T",7,"correction code EM",0,"0",1,2
"24-40-127-1-269T",8,"correction code EM",0,"1",1,2
"24-40-127-1-269T",9,"correction code EM",0,"0",1,2
"24-40-127-1-269T",10,"correction code EM",0,"0",1,2
"24-40-127-1-269T",11,"correction code EM",0,"0",2,3
"24-40-127-1-269T",13,"correction code EM",0,"1",1,2
"24-40-127-1-275T",1,"correction code EM",0,"0",2,2
"24-40-127-1-275T",2,"correction code EM",0,"1",2,2
"24-40-127-1-275T",3,"correction code EM",0,"0",1,1
