"dir","type_point","npp","nph","type_res","nom_site"
"DIRNE","nouveau","26-57-268-1-045T","262681045","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-269-1-028T","262691028","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-57-270-1-029T","262701029","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-264-1-033T","262641033","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-265-1-034T","262651034","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-266-1-033T","262661033","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-266-1-037T","262661037","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-267-1-032T","262671032","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-267-1-034T","262671034","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-267-1-036T","262671036","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-267-1-036T","262671036","réserve nationale de chasse et faune sauvage","La Petite Pierre"
"DIRNE","nouveau","26-67-267-1-038T","262671038","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-267-1-042T","262671042","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-67-268-1-033T","262681033","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-268-1-035T","262681035","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-268-1-037T","262681037","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-268-1-037T","262681037","réserve nationale de chasse et faune sauvage","La Petite Pierre"
"DIRNE","nouveau","26-67-268-1-047T","262681047","réserve biosphère","Moselle sud (zone centrale)"
"DIRNE","nouveau","26-67-269-1-032T","262691032","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-270-1-033T","262701033","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-67-271-1-028T","262711028","réserve biosphère","Vosges du Nord (zone tampon)"
