"dir","type_point","npp","nph","camp"
"DIRSE","visite2","21-13-298-1-235T","212981235","camp de carpiagne"
"DIRSE","visite2","21-30-260-1-225T","212601225","camp des garrigues"
"DIRSE","visite2","21-30-262-1-225T","212621225","camp des garrigues"
"DIRSE","visite2","21-66-237-1-274T","212371274","champ de manoeuvres de Rivesaltes"
"DIRSE","visite2","21-83-310-1-215T","213101215","camp de canjuers"
"DIRSE","visite2","21-83-314-1-215T","213141215","camp de canjuers"
"DIRSO","nouveau","26-23-189-1-180T","261891180","Camp de La Courtine"
"DIRSO","nouveau","26-23-191-1-180T","261911180","Camp de La Courtine"
"DIRSO","nouveau","26-23-192-1-181T","261921181","Camp de La Courtine"
"DIRSO","nouveau","26-33-126-1-233T","261261233","camp de souge"
"DIRSO","nouveau","26-33-144-1-251T","261441251","champ de tir et polygone d'essais de captieux"
"DIRSO","nouveau","26-33-146-1-251T","261461251","champ de tir et polygone d'essais de captieux"
"DIRSO","nouveau","26-40-121-1-250T","261211250","centre dessai des landes (CEL)"
"DIRSO","nouveau","26-40-122-1-257T","261221257","centre dessai des landes (CEL)"
"DIRSO","nouveau","26-40-123-1-254T","261231254","centre dessai des landes (CEL)"
"DIRSO","nouveau","26-40-123-1-256T","261231256","centre dessai des landes (CEL)"
"DIRSO","nouveau","26-82-194-1-233T","261941233","camp de caylus"
"DIRSO","visite2","21-23-189-1-180T","211891180","Camp de La Courtine"
"DIRSO","visite2","21-23-190-1-181T","211901181","Camp de La Courtine"
"DIRSO","visite2","21-23-191-1-180T","211911180","Camp de La Courtine"
"DIRSO","visite2","21-33-144-1-251T","211441251","champ de tir et polygone d'essais de captieux"
"DIRSO","visite2","21-33-146-1-251T","211461251","champ de tir et polygone d'essais de captieux"
"DIRSO","visite2","21-40-122-1-257T","211221257","centre dessai des landes (CEL)"
"DIRSO","visite2","21-40-123-1-254T","211231254","centre dessai des landes (CEL)"
"DIRSO","visite2","21-40-123-1-256T","211231256","centre dessai des landes (CEL)"
