"npp","a","pds.ana","pds.syn","w.ana","w.syn","wac.ana","wac.syn"
"18-39-252-1-105T",3,1,1,88.4136636698686,88.4136636698686,88.4136636698686,88.4136636698686
"18-39-252-1-105T",4,1,1,88.415799547923,88.415799547923,88.415799547923,88.415799547923
"18-39-252-1-105T",5,1,1,88.4151424441735,88.4151424441735,88.4151424441735,88.4151424441735
"18-39-252-1-105T",6,1,1,88.4137765730278,88.4137765730278,88.4137765730278,88.4137765730278
"18-39-252-1-105T",7,1,1,88.4143952128121,88.4143952128121,88.4143952128121,88.4143952128121
"18-39-252-1-105T",8,1,1,88.4151097851962,88.4151097851962,88.4151097851962,88.4151097851962
"18-39-252-1-105T",9,1,1,88.4145355510055,88.4145355510055,88.4145355510055,88.4145355510055
"18-39-252-1-105T",10,1,1,88.4119223851005,88.4119223851005,88.4119223851005,88.4119223851005
"18-39-252-1-105T",11,1,1,88.4144656306797,88.4144656306797,88.4144656306797,88.4144656306797
"18-41-153-1-131T",1,1.29538418745305,1.29537544670826,114.532658803586,114.531885982094,149.800588703683,149.799156978919
"18-42-228-1-166T",1,1,1,39.2817477505997,39.2817477505997,39.2817477505997,39.2817477505997
"18-42-228-1-166T",2,1,1,14.1445255581161,14.1445255581161,14.1445255581161,14.1445255581161
"18-42-248-1-177T",1,1,1,14.1445779841565,14.1445779841565,18.4882658754609,18.488068537976
"18-42-248-1-177T",2,1,1,39.2867763038925,39.2867763038925,39.7732889495202,39.7731027720833
"18-43-224-1-189T",1,1,1,88.4098050433848,88.4098050433848,88.4098050433848,88.4098050433848
"18-43-236-1-185T",1,1,1,88.4097070161542,88.4097070161542,88.4097070161542,88.4097070161542
"18-43-236-1-185T",2,1,1,88.4130027411815,88.4130027411815,88.4130027411815,88.4130027411815
"18-44-084-1-165T",1,1,1,88.4132792414394,88.4132792414394,88.4132792414394,88.4132792414394
"18-44-084-1-165T",2,1,1,88.4142169914133,88.4142169914133,88.4142169914133,88.4142169914133
"18-44-084-1-165T",3,1,1,88.4082824114452,88.4082824114452,88.4082824114452,88.4082824114452
"18-44-084-1-165T",4,1,1,88.4151424441735,88.4151424441735,88.4151424441735,88.4151424441735
"18-44-084-1-165T",5,1,1,88.4137014286341,88.4137014286341,88.4137014286341,88.4137014286341
"18-44-084-1-165T",6,1,1,88.4116611329882,88.4116611329882,88.4116611329882,88.4116611329882
"18-44-084-1-165T",7,1,1,88.4130027411815,88.4130027411815,88.4130027411815,88.4130027411815
"18-44-084-1-165T",8,1,1,88.4157695012164,88.4157695012164,88.4157695012164,88.4157695012164
"18-44-084-1-165T",9,1,1,88.4156786147188,88.4156786147188,88.4156786147188,88.4156786147188
"18-44-084-1-165T",10,1,1,88.4131219875374,88.4131219875374,88.4131219875374,88.4131219875374
"18-44-084-1-165T",11,1,1,88.4150110619201,88.4150110619201,88.4150110619201,88.4150110619201
"18-44-084-1-165T",12,1,1,88.4149446244519,88.4149446244519,88.4149446244519,88.4149446244519
"18-44-084-1-165T",13,1,1,88.4084918946235,88.4084918946235,88.4084918946235,88.4084918946235
"18-44-084-1-165T",14,1,1,88.4139253692571,88.4139253692571,88.4139253692571,88.4139253692571
"18-44-084-1-165T",15,1,1,88.4144304839385,88.4144304839385,88.4144304839385,88.4144304839385
"18-48-236-1-209T",1,1,1,39.2900606933213,39.2900606933213,39.2900606933213,39.2900606933213
"18-48-238-1-213T",1,1,1,39.286545396296,39.286545396296,39.286545396296,39.286545396296
"18-48-238-1-213T",2,1,1,88.4117923186773,88.4117923186773,88.4117923186773,88.4117923186773
"18-48-238-1-213T",3,1,1,88.3937780535194,88.3937780535194,88.3937780535194,88.3937780535194
"18-49-105-1-139T",1,1,1,88.415709034614,88.415709034614,88.415709034614,88.415709034614
"18-56-044-1-141T",1,1,1,88.4008018755179,88.4008018755179,88.4008018755179,88.4008018755179
"18-56-044-1-141T",2,1,1,88.4079644566892,88.4079644566892,88.4079644566892,88.4079644566892
"18-62-126-1-016T",1,1,1,88.4146738990224,88.4146738990224,88.4146738990224,88.4146738990224
"18-62-126-1-016T",2,1,1,88.4156174017416,88.4156174017416,88.4156174017416,88.4156174017416
"18-62-126-1-016T",3,1,1,88.4153675740467,88.4153675740467,88.4153675740467,88.4153675740467
"18-62-126-1-016T",4,1,1,88.4155246493126,88.4155246493126,88.4155246493126,88.4155246493126
"18-62-126-1-016T",5,1,1,88.4156786147188,88.4156786147188,88.4156786147188,88.4156786147188
"18-62-130-1-015T",1,1,1,88.415303873187,88.415303873187,88.415303873187,88.415303873187
"18-64-120-1-290T",1,1,1,88.4155556911837,88.4155556911837,88.4155556911837,88.4155556911837
"18-64-120-1-290T",2,1,1,88.4102877187058,88.4102877187058,88.4102877187058,88.4102877187058
"18-64-120-1-290T",3,1,1,88.4140721753922,88.4140721753922,88.4140721753922,88.4140721753922
"18-64-120-1-290T",4,1.28019858904529,1.28018982374875,113.188296737054,113.18752175652,88.4146394985983,88.4146394985983
"18-65-169-1-282T",1,1,1,88.4156786147188,88.4156786147188,88.4156786147188,88.4156786147188
"18-65-169-1-282T",2,1,1,88.4137390630206,88.4137390630206,88.4137390630206,88.4137390630206
"18-65-169-1-282T",3,1,1,88.4098050433848,88.4098050433848,88.4098050433848,88.4098050433848
"18-65-169-1-282T",4,1.08147242356095,1.08146478728461,95.6091069050591,95.608431809195,88.4064214880751,88.4064214880751
"18-65-169-1-282T",5,1,1,88.4109425732369,88.4109425732369,88.4109425732369,88.4109425732369
"18-65-169-1-282T",6,1,1,88.4104773070518,88.4104773070518,88.4104773070518,88.4104773070518
"18-65-169-1-282T",7,1,1,88.4149446244519,88.4149446244519,88.4149446244519,88.4149446244519
"18-65-169-1-282T",8,1,1,88.4152396747573,88.4152396747573,88.4152396747573,88.4152396747573
"18-65-169-1-282T",9,1,1,88.4138139586554,88.4138139586554,88.4138139586554,88.4138139586554
"18-65-169-1-282T",10,1,1,88.4136636698686,88.4136636698686,88.4136636698686,88.4136636698686
"18-65-169-1-282T",11,1,1,88.4145355510055,88.4145355510055,88.4145355510055,88.4145355510055
"18-65-173-1-282T",1,1,1,88.4131614875749,88.4131614875749,88.4131614875749,88.4131614875749
"18-65-173-1-282T",2,1,1,88.4145006530355,88.4145006530355,88.4145006530355,88.4145006530355
"18-65-173-1-282T",3,1,1,88.4079110290702,88.4079110290702,88.4079110290702,88.4079110290702
"18-65-173-1-282T",4,1.56242089962469,1.56241394100391,22.0925874726971,22.0924890779955,18.2110324462879,18.2107395630095
"18-65-173-1-282T",5,1,1,88.4149779053809,88.4149779053809,88.4149779053809,88.4149779053809
"18-65-173-1-282T",6,1,1,88.4130027411815,88.4130027411815,88.4130027411815,88.4130027411815
"18-65-173-1-282T",7,1,1,88.412347856131,88.412347856131,88.412347856131,88.412347856131
"18-65-173-1-282T",8,1.07566739603594,1.07565988471443,95.1040561001378,95.1033919941647,88.4139990210876,88.4139990210876
"18-65-173-1-282T",9,1.08632572707793,1.08631800944424,96.0390812157581,96.0383989209082,88.4072602000234,88.4072602000234
"18-65-173-1-282T",10,1.08599909487493,1.08599138925533,96.0193469483375,96.0186656507509,88.4156786147188,88.4156786147188
