npp,id,id_massif,surf_ilot_bdforet_ha
23-43-243-1-178T,77356.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,527.169999999999959
23-43-243-1-186T,76968.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-011705,31.559999999999999
23-43-244-1-181T,75948.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,2.470000000000000
23-43-248-1-181T,74872.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1224.589999999999918
23-43-248-1-185T,74882.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,585.960000000000036
23-43-248-1-187T,75711.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,205.120000000000005
23-43-249-1-180T,75562.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,797.159999999999968
23-43-249-1-182T,74872.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1224.589999999999918
23-63-204-1-167T,40322.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,899.379999999999995
23-63-205-1-166T,41813.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,91.920000000000002
23-63-206-1-175T,41074.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,671.059999999999945
23-63-207-1-164T,42650.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,144.330000000000013
23-63-207-1-174T,41075.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1418.339999999999918
23-63-208-1-167T,40811.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,404.329999999999984
23-63-208-1-169T,42133.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,222.810000000000002
23-63-208-1-173T,40293.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,405.790000000000020
23-63-208-1-175T,43014.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,775.669999999999959
23-63-209-1-170T,663432.000000000000000,29b49d89-8635-4347-8577-f1b4bf3a4dfe-000001,3.110000000000000
23-63-215-1-168T,48400.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-011342,95.189999999999998
23-63-215-1-172T,48156.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-011240,28.940000000000001
23-63-216-1-163T,181870.000000000000000,1418c6e9-58df-4c4a-b669-fcbe44d9bd42-000001,343.029999999999973
