0905;8.025;NA;40
0907;5.275;NA;16.25
0909;NA;78;14.25
0912;6.25;100;10
0913;5.7;NA;NA
0914;4.175;0;24
0922;5.775;100;10
0925;8.25;100;10
0928;7.45;NA;NA
0931;6.225;100;10
0929;6.4;100;10
0915;5.275;NA;11.75
0936;5.525;NA;11
0946;6.025;88;10
0954;4.375;44;25.5
1002;8.025;100;10
1004;8.15;100;NA
1003;7.1;100;NA
1051;6.3;91;NA
1112;6.575;NA;NA
1113;5.65;NA;NA
1124;6.4;100;10
9417;6.925;100;10
1127;6.975;85;12.5
1140;7.325;100;10
1141;6.45;100;13
1146;8.5;NA;13.5
1147;8.5;100;NA
1151;6.625;100;15.25
1152;6.225;NA;NA
1155;NA;NA;40
1167;8.5;100;NA
1169;8.5;100;10
0731;7.65;100;12.25
1186;8.5;100;10
1196;5.55;NA;NA
1198;6.55;80;10
1219;7.9;100;NA
1220;7.575;100;10
1225;8.5;100;NA
1237;6.875;NA;11.75
1244;6.825;100;10
1250;7.325;100;NA
1261;6.35;100;10
1260;7.025;100;10
9420;8.5;100;NA
1374;8.4;100;NA
3831;4.7;45;24.75
1378;6.875;91;10
5021;6.675;90;10
3015;6.575;NA;NA
1382;4.8;35;22.75
1385;7.175;NA;NA
1386;6.95;100;10
1387;7.45;100;10
1413;5.85;84;10
1414;3;0;27.5
9421;3.625;20;26.25
9422;3;9;24.25
9370;3;0;32
1451;3;37;19.25
1479;8.5;100;12.5
5007;5.65;NA;12.25
3401;3;0;11.5
5026;3;0;21.5
3397;5.7;67;10
1543;6.225;NA;NA
1548;6.625;NA;NA
1550;6.05;100;10
1558;7.425;NA;NA
1559;7.1;100;10
1562;6.25;82;NA
1565;8.5;NA;10
1568;7.325;100;12
1582;6.1;85;26.25
1584;4.4;3;40
1585;4.4;36;40
1589;4.9;35;38.25
1591;4.625;0;32.5
1663;7.55;100;10
1666;6.6;100;10
1672;8.5;100;NA
1676;8.275;100;NA
1678;6.525;100;15.25
1686;5.425;NA;NA
9427;8.5;100;10
9428;5.625;69;NA
9382;6.2;100;10
1738;7.35;100;10
1737;6.8;100;NA
1742;NA;NA;19
1777;3;45;17.5
5042;NA;NA;37.25
1759;7;100;10
1763;6.125;79;17.5
1772;7.275;100;13.25
1791;6.55;100;10
9383;6.175;100;10
1797;6.55;100;10
3613;3;8;28.5
1803;7.075;100;10
1804;NA;100;NA
1850;5;59;10
1853;6.675;96;10
5040;6.85;100;17
1864;8.025;100;10
0442;6.425;93;10
1866;5.925;100;10
1871;5.75;71;28.25
1861;3;0;23.5
1875;6.4;100;NA
1883;7.6;100;10
1892;8.5;NA;12.75
1896;7.35;NA;NA
1913;7.65;100;40
1938;6.425;100;NA
1945;6.5;84;10
1949;6.675;100;NA
1960;6.7;100;10
1971;6.6;100;10
1974;8.5;NA;NA
2016;6.45;100;10
2051;8.5;100;NA
2058;8.5;100;NA
2061;6.4;100;10
2066;7.025;100;40
2071;6.7;91;10
2102;7.45;100;NA
2105;4.95;NA;16.25
2106;7.475;100;NA
2111;8.5;NA;NA
2114;6.875;100;NA
2117;4.725;NA;NA
2120;4.45;NA;27.5
2123;8.5;100;40
1222;7.425;100;10
2128;5.3;50;NA
2129;4.575;44;20
1533;6.5;100;14.25
2144;7.725;100;10
1537;3;45;10
