"lotpi","npp","reco"
13,"26-03-203-1-152T",3
13,"26-03-212-1-157T",3
13,"26-10-191-1-080T",3
13,"26-15-205-1-192T",3
13,"26-15-223-1-200T",3
13,"26-16-134-1-207T",3
13,"26-16-148-1-185T",3
13,"26-16-152-1-195T",3
13,"26-17-117-1-204T",3
13,"26-17-140-1-215T",3
13,"26-19-174-1-203T",3
13,"26-21-232-1-117T",3
13,"26-21-236-1-101T",3
13,"26-22-031-1-122T",3
13,"26-22-036-1-125T",3
13,"26-22-043-1-116T",3
13,"26-23-171-1-166T",3
13,"26-23-185-1-164T",3
13,"26-24-162-1-203T",3
13,"26-24-172-1-223T",3
13,"26-25-266-1-109T",3
13,"26-25-268-1-103T",3
13,"26-27-118-1-073T",3
13,"26-29-018-1-125T",3
13,"26-29-025-1-130T",3
13,"26-32-173-1-254T",3
13,"26-33-138-1-231T",3
13,"26-37-128-1-143T",3
13,"26-37-136-1-141T",3
13,"26-38-267-1-158T",3
13,"26-41-140-1-115T",3
13,"26-42-227-1-156T",3
13,"26-42-237-1-166T",3
13,"26-47-164-1-237T",3
13,"26-48-240-1-201T",3
13,"26-49-106-1-155T",3
13,"26-52-235-1-092T",3
13,"26-52-237-1-088T",3
13,"26-53-089-1-112T",3
13,"26-53-094-1-113T",3
13,"26-53-100-1-123T",3
13,"26-54-252-1-053T",3
13,"26-55-230-1-045T",3
13,"26-59-172-1-025T",3
13,"26-63-209-1-176T",3
13,"26-63-221-1-180T",3
13,"26-64-152-1-287T",3
13,"26-65-164-1-283T",3
13,"26-69-238-1-157T",3
13,"26-70-252-1-083T",3
13,"26-71-235-1-132T",3
13,"26-79-122-1-177T",3
13,"26-80-130-1-035T",3
13,"26-80-136-1-041T",3
13,"26-81-207-1-244T",3
13,"26-81-211-1-256T",3
13,"26-81-214-1-255T",3
13,"26-84-278-1-215T",3
13,"26-84-286-1-221T",3
13,"26-85-090-1-183T",3
13,"26-85-091-1-178T",3
13,"26-85-100-1-183T",3
13,"26-86-145-1-156T",3
13,"26-88-246-1-069T",3
13,"26-88-249-1-068T",3
15,"21-03-206-1-155R",3
15,"21-04-308-1-209R",3
15,"21-05-292-1-185R",3
15,"21-05-310-1-175R",3
15,"21-09-194-1-287R",3
15,"21-12-206-1-223R",3
15,"21-12-206-1-227R",3
15,"21-13-268-1-235R",3
15,"21-15-210-1-201R",3
15,"21-27-140-1-065R",3
15,"21-29-010-1-147R",3
15,"21-29-022-1-133R",3
15,"21-29-024-1-131R",3
15,"21-2A-359-1-249R",3
15,"21-2A-361-1-247R",3
15,"21-2B-343-1-227R",3
15,"21-2B-347-1-225R",3
15,"21-2B-349-1-225R",3
15,"21-2B-351-1-221R",3
15,"21-2B-353-1-221R",3
15,"21-2B-353-1-223R",3
15,"21-2B-363-1-245R",3
15,"21-30-266-1-235R",3
15,"21-38-280-1-169R",3
15,"21-38-286-1-171R",3
15,"21-57-264-1-041R",3
15,"21-66-214-1-291R",3
15,"21-66-224-1-293R",3
15,"21-66-244-1-277R",3
15,"21-73-288-1-141R",3
