OBJECTID,DEP,DEPB,CYCCARTE,TFIFN,FAO2,NUM_DEP,ZPOPCODE,CODE_ONF,FREQUENCY,SUM_Shape_Area
5791,43,43,4,WR,3,43,1,,6,15799018.975829955000000
5792,43,43,4,WR,3,43,1,1O,1,220665.698767792140000
5793,43,43,4,WR,3,43,1,2O,2,1372608.542078401000000
5794,43,43,4,XF,3,43,1,,1,5388307.085854917800000
5795,43,43,4,XF,3,43,1,2O,1,742583.988432376410000
5796,43,43,4,XR,3,43,1,,2,2151762.602182164800000
5797,43,43,4,XR,3,43,1,1O,2,1531294.183880610400000
5798,43,43,4,XR,3,43,1,2O,1,2283438.846645860900000
5799,44,44,3,00,0,44,1,,5,5479346945.737999000000000
5800,44,44,3,00,0,44,1,1O,1,523118.123318636790000
5801,44,44,3,00,0,44,1,2M,1,506181.263291386890000
5802,44,44,3,00,0,44,1,2O,1,231499.130333695560000
5803,44,44,3,00,0,44,1,CO,1,23688.397942596152000
5804,44,44,3,00,0,44,2,,5,829396049.383282300000000
5805,44,44,3,00,0,44,2,2O,1,3451.605079417352500
5806,44,44,3,00,0,44,2,CO,1,20098.997903390686000
5807,44,44,3,10,1,44,1,,3,26710672.710053038000000
5808,44,44,3,10,1,44,1,2M,1,1627.582170451471000
5809,44,44,3,10,1,44,1,2O,1,520645.212748345100000
5810,44,44,3,10,1,44,2,,1,2626290.219767137900000
5811,44,44,3,44,4,44,1,,1,2898299.297506028300000
5812,44,44,3,44,4,44,1,2O,1,84925.329110162653000
5813,44,44,3,44,4,44,2,,1,361039.606749620290000
5814,44,44,3,46,4,44,1,,3,105304786.898569050000000
5815,44,44,3,46,4,44,2,,1,6618629.152818572700000
5816,44,44,3,50,5,44,2,,2,10387145.722643262000000
5817,44,44,3,AAH,1,44,1,,2,11380679.601502020000000
5818,44,44,3,AAH,1,44,1,1O,1,21755510.239946250000000
5819,44,44,3,AAH,1,44,1,CO,1,131.756096343773040
5820,44,44,3,AAH,1,44,2,,1,2036275.215911477100000
5821,44,44,3,AFR,1,44,1,,2,6763389.823700924400000
5822,44,44,3,AFR,1,44,1,1O,1,3217377.945111010700000
5823,44,44,3,AFR,1,44,1,2O,1,99646.577226574358000
5824,44,44,3,AFR,1,44,1,CO,1,184426.126910877210000
5825,44,44,3,AFR,1,44,2,,2,1702634.391754097300000
5826,44,44,3,AFR,1,44,2,CO,1,54368.725903573861000
5827,44,44,3,AJH,1,44,1,,1,3032477.188769264100000
5828,44,44,3,AJH,1,44,2,,1,605541.228650316600000
5829,44,44,3,CMH,1,44,1,,3,22289452.706867903000000
5830,44,44,3,CMH,1,44,1,1O,1,5922174.727788686800000
5831,44,44,3,CMH,1,44,1,2O,1,815325.323039721700000
5832,44,44,3,CMH,1,44,2,,2,3157758.929801300200000
5833,44,44,3,COH,1,44,1,,1,5034775.646832523900000
5834,44,44,3,COH,1,44,1,1O,1,1440677.957293400300000
5835,44,44,3,COH,1,44,2,,1,440805.362612488680000
5836,44,44,3,CRR,1,44,1,,3,18382299.876386907000000
5837,44,44,3,CRR,1,44,1,1O,1,3747329.927281499400000
5838,44,44,3,CRR,1,44,1,2O,1,180853.915902421520000
5839,44,44,3,CRR,1,44,1,CO,1,828483.447500057750000
5840,44,44,3,CRR,1,44,2,,2,2039111.141835530800000
5841,44,44,3,CRR,1,44,2,CO,1,277462.711613099960000
5842,44,44,3,CSH,1,44,1,,1,4702611.200256904600000
5843,44,44,3,CSH,1,44,1,1O,1,4892814.720413919500000
5844,44,44,3,CSH,1,44,2,,1,25512.579038933851000
5845,44,44,3,CXH,1,44,1,,1,2843038.444774141500000
5846,44,44,3,CXH,1,44,1,2O,1,253409.458306927200000
5847,44,44,3,CXH,1,44,2,,1,329129.541975183410000
5848,44,44,3,CYH,1,44,1,,1,3779167.100988880300000
5849,44,44,3,CYH,1,44,2,,1,379459.965250271370000
5850,44,44,3,FR,1,44,1,,2,11364312.891296867000000
5851,44,44,3,FR,1,44,1,1O,1,3222132.383119809400000
5852,44,44,3,FR,1,44,1,2O,1,368649.538194150720000
5853,44,44,3,FR,1,44,2,,2,1548502.890680336900000
5854,44,44,3,HFX,1,44,1,,5,69098818.415754110000000
5855,44,44,3,HFX,1,44,1,2O,1,513970.584124606390000
5856,44,44,3,HFX,1,44,2,,3,11833676.644630834000000
5857,44,44,3,HFX,1,44,2,2O,1,18795.699703148544000
5858,44,44,3,HFY,1,44,1,,5,42105462.347766586000000
5859,44,44,3,HFY,1,44,1,2O,1,202912.708396323670000
5860,44,44,3,HFY,1,44,2,,2,8253785.810086001600000
5861,44,44,3,HFY,1,44,2,2O,1,23892.011969300660000
5862,44,44,3,HFZ,1,44,1,,4,33356699.163615566000000
5863,44,44,3,HFZ,1,44,1,2O,1,77743.401114024542000
5864,44,44,3,HFZ,1,44,2,,2,5273684.367486294400000
5865,44,44,3,MR,1,44,1,,5,31133355.486930206000000
5866,44,44,3,MR,1,44,1,1O,1,341313.958888366700000
5867,44,44,3,MR,1,44,1,2O,1,232126.558286895340000
5868,44,44,3,MR,1,44,2,,2,4871593.682685158200000
5869,44,44,3,QF,1,44,1,,4,42527830.006484665000000
5870,44,44,3,QF,1,44,1,2O,1,115283.109722691620000
5871,44,44,3,QF,1,44,1,CO,1,5185.878294601332500
5872,44,44,3,QF,1,44,2,,2,6463553.804818116100000
5873,44,44,3,WF,3,44,1,,4,33586214.249098912000000
5874,44,44,3,WF,3,44,1,2O,1,122179.107875246760000
5875,44,44,3,WF,3,44,1,CO,1,725.728767393188720
5876,44,44,3,WF,3,44,2,,1,4936709.392021564800000
5877,44,44,3,WR,3,44,1,,2,774162.327483623990000
5878,44,44,3,WR,3,44,1,2O,1,51399.125031011252000
5879,45,45,3,00,0,45,1,,8,3983578397.494893100000000
5880,45,45,3,00,0,45,1,1O,1,1446138.103046943400000
5881,45,45,3,00,0,45,1,2M,1,8055239.520136524900000
5882,45,45,3,00,0,45,1,2O,2,287906.105988787490000
5883,45,45,3,00,0,45,2,,7,849293020.277908090000000
5884,45,45,3,00,0,45,2,1O,1,92404.550971279619000
5885,45,45,3,00,0,45,2,2M,1,165921.589334523130000
5886,45,45,3,00,0,45,2,2O,1,46760.681544170533000
5887,45,45,3,30,3,45,1,,2,37810138.325871930000000
5888,45,45,3,30,3,45,1,1O,1,85697.053008701288000
5889,45,45,3,30,3,45,1,2O,1,141.180981336636480
5890,45,45,3,30,3,45,2,,2,6618992.198119867600000
5891,45,45,3,40,4,45,1,,3,25542020.629770026000000
5892,45,45,3,40,4,45,1,1O,1,52074.597812034030000
5893,45,45,3,40,4,45,1,2M,1,944883.661817673590000
5894,45,45,3,40,4,45,2,,1,7573463.723608808600000
5895,45,45,3,50,5,45,2,,2,16974173.606919758000000
5896,45,45,3,50,5,45,2,1O,1,190.243488228838740
5897,45,45,3,50,5,45,2,2O,1,67302.676924368032000
5898,45,45,3,AAA,1,45,1,,4,23633266.622738827000000
5899,45,45,3,AAA,1,45,1,1O,1,61609269.304848127000000
5900,45,45,3,AAA,1,45,1,2O,1,460700.263772453240000
5901,45,45,3,AAA,1,45,2,,1,6018051.912611906400000
5902,45,45,3,AAA,1,45,2,1O,1,1881360.347305595600000
5903,45,45,3,AAA,1,45,2,2O,1,7.974518802938796
5904,45,45,3,AAJ,1,45,1,,2,6911825.048780066900000
5905,45,45,3,AAJ,1,45,1,1O,1,28943435.048336275000000
5906,45,45,3,AAJ,1,45,1,2O,1,211990.783506608020000
5907,45,45,3,AAJ,1,45,2,,1,1228019.573127499300000
5908,45,45,3,AAJ,1,45,2,1O,1,2112160.914899244900000
5909,45,45,3,AAJ,1,45,2,2O,1,3216.399379021225700
5910,45,45,3,AFA,1,45,1,,1,2282745.585937500000000
5911,45,45,3,AFA,1,45,1,1O,1,672243.243337916210000
5912,45,45,3,AFA,1,45,2,,1,1118585.020492684600000
