"","npp","ser_86","esspre","sver","vh","hm"
"404","22-40-142-1-260T","F21","51","2",38.45126565635,9.6
"405","22-40-142-1-262T","F21","51","6",135.737487942136,20.2
"406","22-40-144-1-254T","F21","02","2",64.8367580615897,13.6
"407","22-40-144-1-256T","F21","02","5",26.354670409923,9.3
"408","22-40-144-1-258T","F21","02","5",175.496975206178,20.1
"409","22-40-144-1-260T","F21","51","6",48.0445621612825,10.7
"410","22-40-146-1-256T","F21","02","4",214.123920984062,24.5
"411","22-40-146-1-258T","F21","51","6",127.084507998326,17.2
"412","22-40-146-1-260T","F21","51","2",26.0709767340126,8.3
"413","22-40-148-1-250T","F21","51","6",279.415839431775,22.8
"414","22-40-148-1-254T","F21","51","6",77.4308781084456,11.8
"415","22-40-148-1-260T","F21","51","5",73.7631526565376,12.3
"416","22-40-148-1-262T","F21","51","2",38.7261375147398,8.2
"417","22-40-150-1-252T","F21","51","2",32.5266168657019,7.5
"418","22-40-150-1-254T","F21","51","6",215.678329200258,23.8
"419","22-40-150-1-256T","F21","51","5",216.693360364398,28.2
"420","22-40-152-1-252T","F21","51","6",266.435682829608,18
"421","22-40-152-1-256T","F21","51","6",371.07403498162,33.1
"422","22-40-154-1-252T","F21","51","6",196.018444768647,18.7
"423","22-40-156-1-252T","F21","51","6",123.454559392212,19.1
"424","22-40-156-1-254T","F21","51","5",204.384829632022,26.4
"425","22-40-156-1-256T","F21","51","6",309.907784754358,21.7
"426","22-47-152-1-246T","F21","02","2",11.0853954330406,16
"427","22-47-152-1-248T","F21","51","6",225.327005594188,20.9
"428","22-47-152-1-250T","F21","51","6",109.04874942963,13.4
"429","22-47-154-1-248T","F21","51","2",10.2264736653595,6.5
"430","22-47-156-1-246T","F21","51","6",306.466347940419,23.5
"431","22-47-156-1-248T","F21","07","4",7.06192231145434,10.3
"432","22-47-156-1-250T","F21","51","6",250.663758167592,29.9
"433","22-47-158-1-246T","F21","02","6",142.717906278169,20.2
"434","22-47-158-1-248T","F21","02","5",187.003169089991,20.3
"435","22-47-158-1-252T","F21","51","6",482.978134799372,27
"436","22-47-158-1-254T","F21","07","5",260.944206544433,25.6
"437","22-47-160-1-250T","F21","02","5",300.465258704274,31.4
"438","22-47-160-1-252T","F21","02","5",178.142306056786,26.4
