npp,depbdv2,anrefbdv,codeTFVdis,codeTFVdiN,dist_bdfor
23-65-162-1-293T,65,2006,FF2G61-61,,1_DANS_BDFOR
23-65-180-1-287T,65,2006,FF1-09-09,,1_DANS_BDFOR
23-64-156-1-295T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-11-232-1-269T,11,2015,FO1,,1_DANS_BDFOR
23-09-214-1-275T,09,2011,FF1G01-01,,1_DANS_BDFOR
23-64-150-1-297T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-09-208-1-277T,09,2011,FF01,,1_DANS_BDFOR
23-11-220-1-273T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-11-226-1-271T,11,2015,FF2G53-53,,1_DANS_BDFOR
23-31-190-1-283T,31,2013,FF1-09-09,,2_BDFOR_15m
23-31-184-1-285T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-09-196-1-281T,09,2011,FF1G01-01,,1_DANS_BDFOR
23-65-163-1-292T,65,2006,FF2G61-61,,1_DANS_BDFOR
23-65-175-1-288T,65,2006,FF31,,1_DANS_BDFOR
23-65-178-1-287T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-31-187-1-284T,31,2013,FF1-09-09,,1_DANS_BDFOR
23-65-160-1-293T,65,2006,LA6,,1_DANS_BDFOR
23-11-230-1-269T,11,2015,FF1G06-06,,1_DANS_BDFOR
23-64-151-1-296T,64,2008,FF31,,1_DANS_BDFOR
23-11-218-1-273T,11,2015,FF2G53-53,,1_DANS_BDFOR
23-31-191-1-282T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-65-167-1-290T,65,2006,FF32,,1_DANS_BDFOR
23-11-231-1-268T,11,2015,FO2,,1_DANS_BDFOR
23-65-173-1-288T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-65-179-1-286T,65,2006,FF1-09-09,,1_DANS_BDFOR
23-11-222-1-271T,11,2015,FF32,,1_DANS_BDFOR
23-11-216-1-273T,11,2015,FF1G01-01,,1_DANS_BDFOR
23-11-234-1-267T,11,2015,LA4,,1_DANS_BDFOR
23-64-158-1-293T,64,2008,LA4,,1_DANS_BDFOR
23-09-210-1-275T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-11-228-1-269T,11,2015,FF1G06-06,,1_DANS_BDFOR
23-09-204-1-277T,09,2011,FF1G01-01,,1_DANS_BDFOR
23-09-198-1-279T,09,2011,FF1-14-14,,1_DANS_BDFOR
23-31-186-1-283T,31,2013,FF1G01-01,,1_DANS_BDFOR
23-09-192-1-281T,09,2011,FF1-00,,1_DANS_BDFOR
23-65-168-1-289T,65,2006,FF31,,1_DANS_BDFOR
23-64-153-1-294T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-65-171-1-288T,65,2006,FF1-09-09,,1_DANS_BDFOR
23-64-156-1-293T,64,2008,FO1,,1_DANS_BDFOR
23-65-177-1-286T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-64-147-1-296T,64,2008,FF31,,1_DANS_BDFOR
23-11-232-1-267T,11,2015,FF2-57-57,,1_DANS_BDFOR
23-11-214-1-273T,11,2015,FF1G01-01,,4_HORS_BDFOR
23-11-226-1-269T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-09-196-1-279T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-202-1-277T,09,2011,FF1G01-01,,1_DANS_BDFOR
23-09-208-1-275T,09,2011,FF1G01-01,,2_BDFOR_15m
23-31-184-1-283T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-65-169-1-288T,65,2006,FF2G61-61,,1_DANS_BDFOR
23-64-148-1-295T,64,2008,FF31,,1_DANS_BDFOR
23-11-224-1-269T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-64-151-1-294T,64,2008,FO1,,1_DANS_BDFOR
23-11-230-1-267T,11,2015,FF2-57-57,,1_DANS_BDFOR
23-09-206-1-275T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-65-160-1-291T,65,2006,FF1-09-09,,1_DANS_BDFOR
23-11-218-1-271T,11,2015,FF32,,1_DANS_BDFOR
23-09-194-1-279T,09,2011,FF1-00,,2_BDFOR_15m
23-09-203-1-276T,09,2011,FF1G01-01,,1_DANS_BDFOR
23-65-176-1-285T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-65-164-1-289T,65,2006,FF1-09-09,,1_DANS_BDFOR
23-65-167-1-288T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-31-182-1-283T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-64-155-1-292T,64,2008,FF2G53-53,,1_DANS_BDFOR
23-11-219-1-270T,11,2015,FF1-00,,1_DANS_BDFOR
23-09-210-1-273T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-64-143-1-296T,64,2008,LA4,,1_DANS_BDFOR
23-11-234-1-265T,11,2015,LA4,,1_DANS_BDFOR
23-64-149-1-294T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-146-1-295T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-65-171-1-286T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-09-198-1-277T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-65-177-1-284T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-65-165-1-288T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-65-168-1-287T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-64-144-1-295T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-156-1-291T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-159-1-290T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-64-147-1-294T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-11-232-1-265T,11,2015,FF2-57-57,,1_DANS_BDFOR
23-31-190-1-279T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-64-132-1-299T,64,2008,LA4,,1_DANS_BDFOR
23-31-178-1-283T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-31-181-1-282T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-31-196-1-277T,31,2013,FF1G01-01,,2_BDFOR_15m
23-65-163-1-288T,65,2006,FF1-09-09,,1_DANS_BDFOR
23-31-187-1-280T,31,2013,FF1G01-01,,1_DANS_BDFOR
23-11-230-1-265T,11,2015,LA4,,4_HORS_BDFOR
23-31-184-1-281T,31,2013,LA4,,1_DANS_BDFOR
23-64-151-1-292T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-11-233-1-264T,11,2015,LA4,,1_DANS_BDFOR
23-64-154-1-291T,64,2008,FF31,,1_DANS_BDFOR
23-11-212-1-271T,11,2015,FO1,,1_DANS_BDFOR
23-11-224-1-267T,11,2015,LA4,,1_DANS_BDFOR
23-64-157-1-290T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-142-1-295T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-09-197-1-276T,09,2011,FF1G01-01,,1_DANS_BDFOR
23-09-194-1-277T,09,2011,FF1G01-01,,1_DANS_BDFOR
23-11-228-1-265T,11,2015,LA4,,1_DANS_BDFOR
23-09-204-1-273T,09,2011,FF1G01-01,,1_DANS_BDFOR
23-64-152-1-291T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-09-201-1-274T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-31-180-1-281T,31,2013,FF2G53-53,,1_DANS_BDFOR
23-31-192-1-277T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-64-131-1-298T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-156-1-289T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-159-1-288T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-65-162-1-287T,65,2006,FF32,,1_DANS_BDFOR
23-65-171-1-284T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-64-153-1-290T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-65-165-1-286T,65,2006,FF1G01-01,,1_DANS_BDFOR
23-64-135-1-296T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-11-229-1-264T,11,2015,FF2-57-57,,1_DANS_BDFOR
23-64-132-1-297T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-11-217-1-268T,11,2015,FF1G01-01,,1_DANS_BDFOR
23-64-138-1-295T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-09-196-1-275T,09,2011,FF1-00,,1_DANS_BDFOR
23-31-190-1-277T,31,2013,FF1G01-01,,1_DANS_BDFOR
23-09-202-1-273T,09,2011,FF1-00,,4_HORS_BDFOR
23-64-151-1-290T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-11-218-1-267T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-65-172-1-283T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-65-163-1-286T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-64-145-1-292T,64,2008,LA4,,1_DANS_BDFOR
23-64-154-1-289T,64,2008,FF1G01-01,,1_DANS_BDFOR
23-11-224-1-265T,11,2015,FF2-57-57,,1_DANS_BDFOR
23-11-212-1-269T,11,2015,FO1,,1_DANS_BDFOR
23-64-139-1-294T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-09-197-1-274T,09,2011,LA4,,1_DANS_BDFOR
23-65-176-1-281T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-31-188-1-277T,31,2013,FF1G01-01,,1_DANS_BDFOR
23-11-228-1-263T,11,2015,FF1-00,,4_HORS_BDFOR
23-64-161-1-286T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-65-170-1-283T,65,2006,FF1G01-01,,1_DANS_BDFOR
23-65-164-1-285T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-64-146-1-291T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-11-210-1-269T,11,2015,FF1-09-09,,1_DANS_BDFOR
23-64-131-1-296T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-149-1-290T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-137-1-294T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-140-1-293T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-31-192-1-275T,31,2013,LA4,,4_HORS_BDFOR
23-31-195-1-274T,31,2013,FO1,,1_DANS_BDFOR
23-65-168-1-283T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-64-156-1-287T,64,2008,FF1G01-01,,1_DANS_BDFOR
23-11-223-1-264T,11,2015,FF31,,1_DANS_BDFOR
23-65-171-1-282T,65,2006,FF1G01-01,,1_DANS_BDFOR
23-64-144-1-291T,64,2008,LA4,,1_DANS_BDFOR
23-09-202-1-271T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-11-232-1-261T,11,2015,FF2-81-81,,1_DANS_BDFOR
23-64-153-1-288T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-141-1-292T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-31-181-1-278T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-64-160-1-285T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-148-1-289T,64,2008,FF1G01-01,,1_DANS_BDFOR
23-11-224-1-263T,11,2015,FF32,,1_DANS_BDFOR
23-64-133-1-294T,64,2008,FF1G01-01,,1_DANS_BDFOR
23-64-157-1-286T,64,2008,FF1G01-01,,1_DANS_BDFOR
23-31-200-1-271T,31,2013,FF1G01-01,,1_DANS_BDFOR
23-64-136-1-293T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-31-185-1-276T,31,2013,FF01,,1_DANS_BDFOR
23-31-179-1-278T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-64-155-1-286T,64,2008,FF1-00,,1_DANS_BDFOR
23-65-167-1-282T,65,2006,FP,,1_DANS_BDFOR
23-64-152-1-287T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-11-222-1-263T,11,2015,FF2-81-81,,1_DANS_BDFOR
23-64-131-1-294T,64,2008,FF1G01-01,,1_DANS_BDFOR
23-64-149-1-288T,64,2008,FF1-00,,4_HORS_BDFOR
23-11-210-1-267T,11,2015,FF1G01-01,,1_DANS_BDFOR
23-31-189-1-274T,31,2013,FF1G01-01,,1_DANS_BDFOR
23-64-156-1-285T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-162-1-283T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-11-232-1-259T,11,2015,FF2-57-57,,1_DANS_BDFOR
23-64-153-1-286T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-65-177-1-278T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-64-144-1-289T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-159-1-284T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-150-1-287T,64,2008,FF1-14-14,,1_DANS_BDFOR
23-64-132-1-293T,64,2008,FF1G01-01,,1_DANS_BDFOR
23-11-208-1-267T,11,2015,FF1G01-01,,4_HORS_BDFOR
23-31-184-1-275T,31,2013,FF01,,1_DANS_BDFOR
23-65-175-1-278T,65,2006,FF1G01-01,,1_DANS_BDFOR
23-65-169-1-280T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-65-178-1-277T,65,2006,FF1-00,,4_HORS_BDFOR
23-64-139-1-290T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-31-194-1-271T,31,2013,FF1G01-01,,1_DANS_BDFOR
23-31-179-1-276T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-31-185-1-274T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-65-170-1-279T,65,2006,FF31,,1_DANS_BDFOR
23-65-164-1-281T,65,2006,FF2-64-64,,1_DANS_BDFOR
23-64-155-1-284T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-64-152-1-285T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-34-228-1-259T,34,2015,FF2-57-57,,1_DANS_BDFOR
23-64-143-1-288T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-11-216-1-263T,11,2015,FF31,,1_DANS_BDFOR
23-11-222-1-261T,11,2015,FF1G06-06,,1_DANS_BDFOR
23-64-137-1-290T,64,2008,FO1,,1_DANS_BDFOR
23-31-204-1-267T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-65-177-1-276T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-31-189-1-272T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-11-226-1-259T,11,2015,FF0,,1_DANS_BDFOR
23-64-156-1-283T,64,2008,FF1G01-01,,1_DANS_BDFOR
23-64-147-1-286T,64,2008,FF1G01-01,,1_DANS_BDFOR
23-11-214-1-263T,11,2015,FF2-51-51,,1_DANS_BDFOR
23-64-132-1-291T,64,2008,FO1,,1_DANS_BDFOR
23-31-187-1-272T,31,2013,FF1G01-01,,1_DANS_BDFOR
23-65-166-1-279T,65,2006,FF1-14-14,,2_BDFOR_15m
23-34-230-1-257T,34,2015,LA4,,1_DANS_BDFOR
23-64-148-1-285T,64,2008,FF1-00-00,,1_DANS_BDFOR
23-11-224-1-259T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-64-151-1-284T,64,2008,FF1-00-00,,1_DANS_BDFOR
